,event_id,norm_overrun_location,true_overrun_location,overrun_probability,number_of_events,number_of_waves,avg_overrun_period,avg_wave_period,norm_overrun_period,overrun_time,overrun_datetime,run_id,run_datetime,location,location_name
0,1,0.0344927418370059,39.121184343135184,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,54.693899498507434,2014-08-07 09:00:54,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
1,2,0.0344927418370059,39.121184343135184,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,54.693899498507434,2014-08-07 09:00:54,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
2,3,0.007369939234931344,27.12315816124387,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,78.87367616146881,2014-08-07 09:01:18,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
3,4,0.04776984078012636,38.969843961639036,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,92.72560356334738,2014-08-07 09:01:32,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
4,5,0.04374693005545649,36.19168661090988,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,115.04700980619005,2014-08-07 09:01:55,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
5,6,0.1469668279176708,43.452368647717705,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,147.10999237233955,2014-08-07 09:02:27,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
6,7,0.1469668279176708,43.452368647717705,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,147.10999237233955,2014-08-07 09:02:27,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
7,8,0.34673180706231765,45.915869387324115,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,280.16752793207445,2014-08-07 09:04:40,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
8,9,0.34673180706231765,45.915869387324115,0.28125,9,32.0,33.333333333333336,9.375,3.555555555555556,280.16752793207445,2014-08-07 09:04:40,0,2014-08-07 09:00:00,OneMileBeach,One Mile Beach
9,1,0.4549036290834665,42.01282897887294,0.1935483870967742,6,31.0,50.0,9.67741935483871,5.166666666666666,56.00628900715496,2014-08-07 09:05:56,1,2014-08-07 09:05:00,OneMileBeach,One Mile Beach
