,location,order,Omega,Irribaren,number of extreme events,number of wave mergings,extreme event from wave merging
0,Werri Beach,1,1.89,4.49,2,5,0
1,Werri Beach,1,1.89,4.49,3,6,1
2,Werri Beach,1,1.89,4.49,1,5,0
3,Werri Beach,1,1.89,4.49,2,5,1
4,Werri Beach,1,1.89,4.49,1,6,1
5,Werri Beach,1,1.89,4.49,1,5,0
6,Werri Beach,1,1.89,4.49,0,7,0
7,Werri Beach,1,1.89,4.49,1,4,1
8,Werri Beach,1,1.89,4.49,2,6,0
9,Werri Beach,1,1.89,4.49,1,8,0
10,Werri Beach,1,1.89,4.49,3,7,1
11,Werri Beach,1,1.89,4.49,2,6,1
12,One Mile Beach,2,3.39,1.32,1,6,1
13,One Mile Beach,2,3.39,1.32,1,4,1
14,One Mile Beach,2,3.39,1.32,1,3,1
15,One Mile Beach,2,3.39,1.32,2,10,1
16,One Mile Beach,2,3.39,1.32,1,8,1
17,One Mile Beach,2,3.39,1.32,2,7,1
18,One Mile Beach,2,3.39,1.32,0,7,0
19,One Mile Beach,2,3.39,1.32,1,6,1
20,One Mile Beach,2,3.39,1.32,2,8,1
21,One Mile Beach,2,3.39,1.32,1,6,0
22,One Mile Beach,2,3.39,1.32,1,5,0
23,One Mile Beach,2,3.39,1.32,1,10,1
24,Moreton Island,3,3.47,2.35,1,6,1
25,Moreton Island,3,3.47,2.35,2,10,1
26,Moreton Island,3,3.47,2.35,3,11,1
27,Moreton Island,3,3.47,2.35,2,10,1
28,Moreton Island,3,3.47,2.35,3,9,1
29,Moreton Island,3,3.47,2.35,1,9,0
30,Moreton Island,3,3.47,2.35,0,10,0
31,Moreton Island,3,3.47,2.35,1,9,1
32,Moreton Island,3,3.47,2.35,1,9,0
33,Moreton Island,3,3.47,2.35,1,6,0
34,Moreton Island,3,3.47,2.35,1,8,1
35,Moreton Island,3,3.47,2.35,2,10,1
36,Seven Mile Beach,4,3.77,1.21,0,6,0
37,Seven Mile Beach,4,3.77,1.21,0,7,0
38,Seven Mile Beach,4,3.77,1.21,0,7,0
39,Seven Mile Beach,4,3.77,1.21,1,7,1
40,Seven Mile Beach,4,3.77,1.21,1,7,0
41,Seven Mile Beach,4,3.77,1.21,1,4,1
42,Seven Mile Beach,4,3.77,1.21,1,7,1
43,Seven Mile Beach,4,3.77,1.21,1,4,1
44,Seven Mile Beach,4,3.77,1.21,1,10,0
45,Seven Mile Beach,4,3.77,1.21,0,6,0
46,Seven Mile Beach,4,3.77,1.21,1,9,1
47,Seven Mile Beach,4,3.77,1.21,0,7,0
48,Nobbys Beach,5,6.15,1.66,1,10,1
49,Nobbys Beach,5,6.15,1.66,1,10,1
50,Nobbys Beach,5,6.15,1.66,2,11,1
51,Nobbys Beach,5,6.15,1.66,0,9,0
52,Nobbys Beach,5,6.15,1.66,0,9,0
53,Nobbys Beach,5,6.15,1.66,0,9,0
54,Nobbys Beach,5,6.15,1.66,0,9,0
55,Nobbys Beach,5,6.15,1.66,0,11,0
56,Nobbys Beach,5,6.15,1.66,1,9,1
57,Nobbys Beach,5,6.15,1.66,0,7,0
58,Nobbys Beach,5,6.15,1.66,2,10,1
59,Nobbys Beach,5,6.15,1.66,2,2,0
60,Frazer Beach,6,6.35,0.9,1,5,1
61,Frazer Beach,6,6.35,0.9,1,5,0
62,Frazer Beach,6,6.35,0.9,1,11,1
63,Frazer Beach,6,6.35,0.9,1,9,0
64,Frazer Beach,6,6.35,0.9,1,10,1
65,Frazer Beach,6,6.35,0.9,0,7,0
66,Frazer Beach,6,6.35,0.9,1,10,1
67,Frazer Beach,6,6.35,0.9,1,9,1
68,Frazer Beach,6,6.35,0.9,0,8,0
69,Frazer Beach,6,6.35,0.9,1,12,1
70,Frazer Beach,6,6.35,0.9,1,8,0
71,Frazer Beach,6,6.35,0.9,2,8,1
