,x,z
0,-60.0,0.0
1,-41.72530875773823,-0.677
2,-39.35635356822833,-0.843
3,-37.073920308958236,-0.983
4,-34.615663530436734,-1.113
5,-31.779026062164323,-1.235
6,-29.07696798501154,-1.361
7,-26.191911663035476,-1.472
8,-23.486033836352398,-1.577
9,-20.748866895336697,-1.6769999999999998
10,-17.748736634273257,-1.798
11,-14.23119244507241,-1.895
12,-11.279582380689703,-1.955
13,-8.189951351113336,-2.022
14,-5.34163181177108,-2.096
15,-2.596901477359225,-2.1390000000000002
16,0.12729098337958789,-2.169
17,3.2459705752074015,-2.331
18,6.54758761217424,-2.431
