x,y,z,point
500,500,0,origin
503.499,536.167,2.234,prof
503.498,536.19,2.241,prof
503.53,536.183,2.313,prof
503.541,536.07,2.383,prof
503.53,535.925,2.447,prof
503.499,535.736,2.399,prof
503.407,535.556,2.412,prof
503.35,535.319,2.346,prof
503.339,535.156,2.327,prof
503.275,535.022,2.293,prof
503.136,534.845,2.257,prof
503.029,534.653,2.238,prof
502.999,534.472,2.211,prof
502.968,534.277,2.164,prof
502.902,534.063,2.102,prof
502.853,533.871,2.061,prof
502.793,533.637,2.017,prof
502.78,533.368,1.969,prof
502.775,533.056,1.952,prof
502.731,532.862,1.919,prof
502.734,532.678,1.863,prof
502.738,532.471,1.816,prof
502.738,532.22,1.785,prof
502.745,531.952,1.758,prof
502.702,531.742,1.7,prof
502.671,531.476,1.676,prof
502.649,531.222,1.666,prof
502.61,530.972,1.629,prof
502.578,530.683,1.61,prof
502.531,530.462,1.572,prof
502.523,530.23,1.537,prof
502.523,529.949,1.497,prof
502.467,529.618,1.488,prof
502.446,529.299,1.476,prof
502.383,529.001,1.443,prof
502.342,528.694,1.402,prof
502.27,528.369,1.37,prof
502.195,528.014,1.335,prof
502.141,527.711,1.314,prof
502,527.356,1.288,prof
501.938,527.051,1.3,prof
501.831,526.789,1.267,prof
501.812,526.469,1.251,prof
501.775,526.149,1.236,prof
501.68,525.828,1.195,prof
501.647,525.462,1.167,prof
501.578,525.136,1.148,prof
501.51,524.811,1.135,prof
501.465,524.517,1.128,prof
501.403,524.26,1.119,prof
501.358,523.986,1.111,prof
501.27,523.703,1.094,prof
501.21,523.369,1.074,prof
501.133,523.036,1.063,prof
501.071,522.754,1.054,prof
501.05,522.524,1.053,prof
501,522.233,1.033,prof
500.946,521.944,1.023,prof
500.871,521.667,1.014,prof
500.821,521.361,1.003,prof
500.797,521.055,0.993,prof
500.732,520.735,0.973,prof
500.703,520.402,0.959,prof
500.622,520.086,0.943,prof
500.513,519.745,0.921,prof
500.399,519.414,0.909,prof
500.309,519.111,0.89,prof
500.253,518.77,0.872,prof
500.162,518.4,0.851,prof
499.937,517.067,0.786,prof
499.869,516.725,0.769,prof
499.84,516.408,0.75,prof
499.77,516.076,0.728,prof
499.727,515.716,0.708,prof
499.684,515.377,0.69,prof
499.631,515.068,0.672,prof
499.597,514.723,0.665,prof
499.546,514.502,0.654,prof
499.519,514.235,0.633,prof
499.465,513.948,0.628,prof
499.37,513.666,0.609,prof
499.335,513.377,0.592,prof
