point,x,y,z
origin,500,500,0
profile1 0000,499.073,528.206,1.381
profile1 0001,498.99,528.037,1.369
profile1 0002,498.992,527.865,1.339
profile1 0003,498.893,527.722,1.319
profile1 0004,498.742,527.556,1.319
profile1 0005,498.733,527.345,1.318
profile1 0006,498.696,527.181,1.298
profile1 0007,498.541,526.928,1.288
profile1 0008,498.471,526.757,1.286
profile1 0009,498.492,526.602,1.293
profile1 0010,498.41,526.384,1.275
profile1 0011,498.316,526.102,1.265
profile1 0012,498.261,525.843,1.249
profile1 0013,498.172,525.617,1.228
profile1 0014,498.09,525.377,1.207
profile1 0015,498.051,525.129,1.18
profile1 0016,497.985,524.85,1.158
profile1 0017,497.891,524.572,1.117
profile1 0018,497.871,524.307,1.089
profile1 0019,497.858,524.022,1.049
profile1 0020,497.777,523.766,1.025
profile1 0021,497.744,523.531,1.004
profile1 0022,497.726,523.239,0.995
profile1 0023,497.676,522.969,0.961
profile1 0024,497.584,522.695,0.933
profile1 0025,497.524,522.392,0.894
profile1 0026,497.441,522.082,0.863
profile1 0027,497.344,521.816,0.856
profile1 0028,497.35,521.528,0.832
profile1 0029,497.351,521.195,0.804
profile1 0030,497.372,520.883,0.788
profile1 0031,497.364,520.626,0.775
profile1 0032,497.282,520.364,0.755
profile1 0033,497.266,520.045,0.738
profile1 0034,497.264,519.748,0.723
profile1 0035,497.226,519.444,0.704
profile1 0036,497.223,519.124,0.685
profile1 0037,497.224,518.832,0.668
profile1 0038,497.188,518.56,0.669
profile1 0039,497.203,518.281,0.668
profile1 0040,497.199,517.973,0.675
profile1 0041,497.131,517.722,0.668
profile1 0042,497.082,517.464,0.638
profile1 0043,497.052,517.193,0.622
profile1 0044,497.013,516.953,0.6
profile1 0045,497.016,516.732,0.594
profile1 0046,497.031,516.466,0.579
profile1 0047,496.994,516.162,0.559
profile1 0048,496.952,515.843,0.556
profile1 0049,496.991,515.644,0.56
profile1 0050,497.011,515.432,0.546
profile1 0051,496.972,515.161,0.534
profile1 0052,496.962,514.884,0.52
profile1 0053,496.941,514.643,0.514
profile1 0054,496.91,514.38,0.507
profile1 0055,496.924,514.085,0.489
profile1 0056,496.861,513.828,0.48
profile1 0057,496.739,513.589,0.473
profile1 0058,496.685,513.318,0.45
profile1 0059,496.634,513.044,0.443
profile1 0060,496.559,512.764,0.432
profile1 0061,496.522,512.483,0.42
profile1 0062,496.489,512.212,0.411
profile1 0063,496.407,511.937,0.393
profile1 0064,496.344,511.646,0.385
profile1 0065,496.286,511.356,0.37
profile1 0066,496.203,511.057,0.353
profile1 0067,496.174,510.746,0.34
profile1 0068,496.186,510.442,0.329
profile1 0069,496.152,510.121,0.313
profile1 0070,496.12,509.801,0.296
profile1 0071,496.115,509.462,0.304
profile1 0072,496.074,509.214,0.301
profile1 0073,496.048,508.935,0.273
profile1 0074,496.03,508.683,0.259
profile1 0075,496.009,508.42,0.232
profile1 0076,496.04,508.176,0.215
profile1 0077,496.085,507.934,0.198
profile1 0078,496.029,507.624,0.183
profile1 0079,495.963,507.324,0.174
profile1 0080,495.97,507.065,0.161
profile1 0081,495.959,506.751,0.143
profile1 0082,495.973,506.428,0.133
profile1 0083,495.958,506.151,0.131
profile1 0084,495.89,505.863,0.115
profile1 0085,495.881,505.548,0.089
profile1 0086,495.875,505.233,0.076
profile1 0087,495.815,504.897,0.076
profile1 0088,495.805,504.628,0.075
profile1 0089,495.8,504.361,0.074
profile1 0090,495.737,504.077,0.06
profile1 0091,495.715,503.811,0.045
profile1 0092,495.699,503.541,0.037
profile1 0093,495.643,503.271,0.03
profile1 0094,495.601,502.969,0.021
profile1 0095,495.547,502.681,0.014
profile1 0096,495.482,502.389,0.006
profile1 0097,495.461,502.08,-0.008
profile1 0098,495.442,501.779,-0.016
profile1 0099,495.398,501.455,-0.018
profile1 0100,495.376,501.13,-0.037
profile1 0101,495.342,500.83,-0.04
profile1 0102,495.287,500.54,-0.051
profile1 0103,495.267,500.223,-0.069
profile1 0104,495.245,499.911,-0.081
profile1 0105,495.181,499.605,-0.093
profile1 0106,495.135,499.31,-0.101
profile1 0107,495.089,499.011,-0.109
profile1 0108,495.015,498.707,-0.11
profile1 0109,494.971,498.402,-0.128
profile1 0110,494.928,498.1,-0.144
profile1 0111,494.852,497.788,-0.165
profile1 0112,494.809,497.477,-0.175
profile1 0113,494.75,497.187,-0.189
profile1 0114,494.666,496.894,-0.201
profile1 0115,494.619,496.581,-0.224
profile1 0116,494.546,496.256,-0.252
profile1 0117,494.477,495.956,-0.259
